Formate,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
T20I,2019,10,466,315,6,77.7,147.9,94,5,0,29,23,24.4
T20I,2020,9,295,208,8,36.9,141.8,85,1,0,18,10,20.7
T20I,2021,8,299,225,4,74.8,132.9,80,4,0,25,10,30.2
T20I,2022,20,781,565,14,55.8,138.2,122,8,1,66,26,29
T20I,2024,2,29,17,2,14.5,170.6,29,0,0,5,0,29.4
,Total,109,"4,037","2,922",77,52.4,138.2,122,37,1,361,117,28.1
,,,,,,,,,,,,,
,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
IPL,2008,12,165,157,11,15,105.1,38,0,0,18,4,45.2
IPL,2009,17,325,270,14,23.2,120.4,50,1,0,34,8,38.5
IPL,2010,17,420,284,14,30,147.9,58,1,0,36,16,27.5
IPL,2011,22,789,619,17,46.4,127.5,84,6,0,78,26,37.8
IPL,2012,15,364,326,12,30.3,111.7,73,2,0,33,10,39.6
IPL,2013,16,634,457,14,45.3,138.7,99,6,0,64,22,35.9
IPL,2014,14,359,294,13,27.6,122.1,73,2,0,23,16,36.4
IPL,2015,16,505,386,11,45.9,130.8,82,3,0,35,23,36
IPL,2016,16,973,640,12,81.1,152,113,7,4,84,38,26.4
IPL,2017,10,308,252,10,30.8,122.2,64,4,0,23,11,35.7
IPL,2018,14,530,381,11,48.2,139.1,92,4,0,52,18,31.8
IPL,2019,14,464,328,14,33.1,141.5,100,2,1,46,13,28.4
IPL,2020,15,466,384,11,42.4,121.4,90,3,0,23,11,26
IPL,2021,15,405,339,14,28.9,119.5,72,3,0,43,9,37.2
IPL,2022,16,341,294,14,24.4,116,73,2,0,32,8,39.1
IPL,2023,14,639,457,12,53.2,139.8,101,6,2,65,16,28.4
IPL,2024,13,661,426,10,66.1,155.2,113,5,1,56,33,30.5
,Total,256,"8,348","6,294",214,39,132.6,113,57,8,745,282,33.4
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Year,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,4s,6s,Dot%
Test,2011,1,2,9,0,4.5,0,0,0,0/9,1,0,58.3
Test,2012,2,9,26,0,2.89,0,0,0,0/3,3,0,74.1
Test,2013,1,6,18,0,3,0,0,0,0/18,1,0,63.9
